데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-03-21 10:36,V01T1623123,32,15,496,126,22.3,16,30,91
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-21 10:35,V01T1623118,1,1,493,125,17.7,22,44,96
2024-03-21 10:35,V01T1623117,52,23,484,125,20.5,15,40,89
2024-03-21 9:26,V01T1623116,47,21,340,150,17.1,25,36,90
2024-03-21 10:36,V01T1623113,24,11,442,127,26.3,10,30,89
2024-03-21 10:36,V01T1623112,7,3,571,170,26.9,21,32,94
2024-03-21 10:36,V01T1623109,35,16,2362,131,10.7,33,44,65
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-21 10:36,V01T1623105,38,18,418,141,19.7,16,30,90
2024-03-21 10:36,V01T1623102,1,1,597,141,26.2,13,31,92
2024-03-21 10:36,ICW0W2000503,5,2,550,421,20.2,29,54,91
2024-03-21 10:36,ICW0W2000455,16,5,228,110,19,32,65,98
2024-03-21 10:36,ICW0W2000447,9,3,453,247,20.1,24,52,96
2024-03-21 10:36,ICW0W2000459,13,5,660,10,21.6,22,54,98
2024-03-21 10:36,ICW0W2000507,6,3,693,89,22.8,22,50,97
2024-03-21 10:36,ICW0W2000501,11,4,436,1584,25.2,21,67,75
2024-03-21 10:36,ICW0W2000500,15,9,2500,211,27.1,19,61,66
2024-03-21 10:36,ICW0W2000380,33,11,618,5612,17,32,56,63
2024-03-21 10:36,ICW0W2000275,10,3,508,103,15.2,33,53,91
2024-03-21 10:36,ICW0W2000388,20,7,731,207,16.1,29,56,91
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-21 10:36,ICW0W2000382,4,1,500,18,20.9,26,64,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-21 10:36,ICW0W2000287,13,4,744,86,24,21,60,96
2024-03-21 10:36,ICW0W2000398,23,8,489,24,23.6,19,60,94
2024-03-21 10:36,ICW0W2000974,13,7,2442,788,18.6,43,77,79
2024-03-21 10:36,ICW0W2000248,10,3,1805,69,26.8,19,66,74
2024-03-21 10:36,ICW0W2000262,33,10,507,18,16.8,27,55,92
2024-03-21 10:35,ICW0W2100488,25,9,455,115,21,17,69,93
2024-03-21 10:35,ICW0W2100506,0,0,361,19,11.5,31,58,91
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 10:35,ICW0W2100582,29,10,597,55,22.2,19,65,92
2024-03-21 10:35,ICW0W2100579,9,3,0,219,24.7,13,60,93
2024-03-21 10:36,ICW0W2100562,31,17,691,809,22.1,16,76,76
2024-03-21 13:59,ICW0W2100488,22,8,469,216,22.8,15,74,92
2024-03-21 13:59,ICW0W2100506,31,12,63,10,22.1,14,55,95
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 13:59,ICW0W2100582,28,10,587,54,22.7,19,60,92
2024-03-21 13:59,ICW0W2100579,11,4,0,259,25.9,12,62,92
2024-03-21 14:00,ICW0W2100562,26,15,587,485,24.5,14,60,81
2024-03-21 13:59,ICW0W2100560,9,3,515,6000,24.1,15,58,62
2024-03-21 13:59,ICW0W2100549,20,7,1065,286,19.6,25,70,88
2024-03-21 13:59,ICW0W2100509,14,5,226,6000,22.7,24,61,69
